cq_id,domain,clause,excerpt,question,cco_elements,llm_model,llm_assessment,llm_reason,human_review
CQ092,Data Protection,Article 17(2),"a controller who has made the personal data public should be obliged to inform the controllers which are processing such personal data""",Which obligation requires a controller who has made personal data public to inform other controllers to erase links or copies?,"cco:Obligation, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an action (""inform"") and an object (""controllers""), which can be represented using the provided CCO classes and properties.",Yes
CQ096,Data Protection,Article 21(1),"a data subject should, nevertheless, be entitled to object to the processing of any personal data relating to his or her particular situation""",Which obligation allows the data subject to object to processing based on legitimate interests?,"cco:Permission, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text describes a permission for a data subject (Agent) to perform an action (object to processing) under a specific condition (particular situation), which can be represented using CCO's Permission, appliesUnder, and hasAction properties with generic class mappings.",No
CQ100,Data Protection,Article 24,"the controller should be obliged to implement appropriate and effective measures and be able to demonstrate the compliance of processing activities with this Regulation""",Which obligations apply to controllers regarding the implementation of appropriate and effective measures to ensure compliance with the Regulation?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an applicable role (controller), an action (implement appropriate and effective measures), and an object (compliance with the Regulation), all representable using CCO classes and properties.",Yes
CQ102,Data Protection,Article 25,"the controller should adopt internal policies and implement measures which meet in particular the principles of data protection by design and data protection by default""",Which regulation specifies obligations for controllers to implement technical and organisational measures in accordance with data protection principles?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for controllers (a role) to implement measures (an action), which can be represented using CCO's Obligation, Role, Action, and related properties.",Yes
CQ109,Data Protection,Article 27,"unless the processing is occasional, does not include processing, on a large scale, of special categories of personal data... and is unlikely to result in a risk to the rights and freedoms of natural persons""",Which norm is modified by an exception allowing non-EU controllers to avoid appointing a representative under specific low-risk conditions?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause describes an exception with specific conditions that modify a norm, which can be represented using the provided CCO elements.",No
CQ114,Data Protection,Article 27,"The designated representative should perform its tasks according to the mandate received from the controller or processor, including cooperating with the competent supervisory authorities""",What action must a representative of a non-EU controller or processor perform in relation to supervisory authorities?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for a role (representative) to perform an action (cooperate with authorities), which can be represented using the specified CCO elements.",Yes
CQ115,Data Protection,Article 22,"Automated decision-making and profiling based on special categories of personal data should be allowed only under specific conditions""",Which regulation specifies norms that apply to the processing of special categories of personal data through automated decision-making?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with a condition, which can be represented using CCO's Permission, Condition, appliesUnder, and hasConditionExpression properties, along with Regulation and specifiesNorm for the regulatory context.",Yes
CQ128,Data Protection,Article 35(3),"A data protection impact assessment should also be made where personal data are processed for taking decisions regarding specific natural persons following any systematic and extensive evaluation of personal aspects...""",When is a data protection impact assessment required for processing based on profiling or special categories of personal data?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (to perform a data protection impact assessment) with a specific condition (processing based on profiling or special categories of personal data), which can be represented using CCO's Obligation, Condition, appliesUnder, and hasConditionExpression properties.",Yes
CQ138,Data Protection,Article 28(3),"The processor should assist the controller, where necessary and upon request, in ensuring compliance with the obligations deriving from the carrying out of data protection impact assessments and from prior consultation of the supervisory authority""",Which regulation specifies the obligation for processors to assist controllers in compliance with data protection impact assessments and prior consultations?,"cco:Obligation, cco:Regulation, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation (assist controller) with roles (processor, controller), an action (assist), and conditions (where necessary and upon request), all representable using CCO classes and properties.",Yes
CQ158,Data Protection,Article 44 et seq.,"Transfers should only be allowed where the conditions of this Regulation for a transfer to third countries are met.""",What resource is regulated by the GDPR in relation to cross-border data transfers?,"cco:Regulation, cco:Resource, cco:regulates, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a deontic norm (prohibition with conditions) over a resource (data for cross-border transfers), which can be represented using CCO classes and properties.",Yes
CQ193,Data Protection,Article 77(2),"The supervisory authority should inform the data subject of the progress and the outcome of the complaint within a reasonable period""",What obligation does a supervisory authority have regarding communication with a data subject after a complaint is lodged?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a role-based applicability, an action, and a condition, all representable using CCO classes and properties.",Yes
CQ194,Data Protection,Article 77(2),"each supervisory authority should take measures such as providing a complaint submission form which can also be completed electronically""",What measures should supervisory authorities take to facilitate complaint submission?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for supervisory authorities (mapped to cco:Agent with a role) to take specific actions (providing a complaint submission form, which is a cco:Resource), and this can be represented using cco:Obligation, cco:appliesToRole, cco:hasAction, and cco:hasObject.",Yes
CQ200,Data Protection,Article 85(2),"each natural or legal person should have an effective judicial remedy before the competent national court against a decision of a supervisory authority which produces legal effects concerning that person""",What judicial remedy is available against a decision of a supervisory authority that produces legal effects?,"cco:Permission, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a permission for natural or legal persons to seek judicial remedy, which can be represented using cco:Permission, cco:appliesToRole (for roles like ""natural person"" or ""legal person""), and cco:hasAction (for ""have an effective judicial remedy"").",Yes
CQ204,Data Protection,Article 85(2),"national courts which consider a decision on the question necessary... may, or in the case provided for in Article 267 TFEU, must, request the Court of Justice to give a preliminary ruling""",Under what condition must a national court refer a question to the Court of Justice for a preliminary ruling?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a conditional obligation (""must... request"") that can be represented using CCO's Norm (specifically Obligation), appliesUnder property with a Condition class, and hasConditionExpression for the specific legal reference.",No
CQ205,Data Protection,Article 85(2),"that national court does not have the power to declare the Board's decision invalid but must refer the question of validity to the Court of Justice""",What must a national court do when the validity of a Board decision is at issue in a challenge to a supervisory authority decision?,"cco:Obligation, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on a national court (Agent) to perform a specific action (refer validity question) under a condition (validity at issue), which can be represented using CCO classes and properties.",Yes
CQ213,Data Protection,Article 82(4),"Where they are joined to the same judicial proceedings, in accordance with Member State law, compensation may be apportioned according to the responsibility...""",Under what condition may compensation be apportioned among multiple controllers or processors?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (compensation may be apportioned) with an explicit condition (joined to the same judicial proceedings and in accordance with Member State law), which can be represented using cco:Condition, cco:appliesUnder, and cco:hasConditionExpression.",Yes
CQ218,Data Protection,Article 83(3),"The imposition of penalties including administrative fines should be subject to appropriate procedural safeguards in accordance with the general principles of Union law and the Charter...""",What obligation ensures that penalties including administrative fines are subject to procedural safeguards?,"cco:Obligation, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation with an action (""imposition of penalties including administrative fines"") and a condition (""in accordance with the general principles of Union law and the Charter""), which can be represented using CCO's Obligation, hasAction, appliesUnder, and Condition classes/properties.",Yes
CQ222,Data Protection,Article 84(2),"The imposition of criminal penalties for infringements of such national rules and of administrative penalties should not lead to a breach of the principle of ne bis in idem...""",What obligation ensures that the principle of ne bis in idem is not breached when imposing criminal and administrative penalties?,"cco:Obligation, cco:appliesUnder",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation to prevent breaching the principle (interpreted as an action) under certain conditions, which can be represented using cco:Obligation, cco:appliesUnder, and generic classes like cco:Action and cco:Condition.",Yes
CQ224,Data Protection,Article 84(3),"...provided that such an application of the rules in those Member States has an equivalent effect to administrative fines imposed by supervisory authorities.""",What condition must be satisfied for national procedures in Denmark and Estonia to be considered equivalent to administrative fines?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause describes a condition for equivalence, which can be represented using cco:Condition with cco:hasConditionExpression for the text, and it is associated with a norm via cco:appliesUnder.",Yes
CQ231,Data Protection,Article 88(1),"Member State law or collective agreements, including ‘works agreements’, may provide for specific rules on the processing of employees' personal data in the employment context...""",What obligation applies to Member States regarding specific rules on processing employees' personal data in the employment context?,"cco:Permission, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause grants permission (cco:Permission) to Member States (cco:Agent with role) to take action (cco:hasAction) regarding processing rules, which can be represented using the specified CCO elements.",No
CQ234,Data Protection,Article 89(1),"Member States should provide for appropriate safeguards for the processing of personal data for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes.""","What obligation requires Member States to provide appropriate safeguards for processing personal data for archiving, research or statistical purposes?","cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a clear agent (Member States), an action (provide appropriate safeguards), and applies to a role, all representable using CCO classes and properties.",Yes
CQ244,Data Protection,Article 1,"The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons connected with the protection of natural persons...""",Does this regulation restrict the free movement of personal data for reasons related to data protection?,"cco:Prohibition, cco:Regulation, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a clear prohibition (""shall be neither restricted nor prohibited"") that can be represented using CCO's Prohibition class and related properties, with the action involving the movement of personal data as a Resource.",Yes
CQ247,Data Protection,Article 3(2),"This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union...""",What condition must be satisfied for a regulation to apply to a processor not established in the Union?,"cco:Condition, cco:Norm, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a condition for the regulation's applicability, which can be represented using cco:Condition linked via cco:appliesUnder to a cco:Norm specified by the cco:Regulation, with the condition text captured in cco:hasConditionExpression.",Yes
CQ248,Data Protection,Article 3(2)(a),"the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union""",Does the regulation apply to processing related to the offering of goods or services to data subjects in the Union?,"cco:Norm, cco:Regulation, cco:hasApplicabilityStart, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a condition for the applicability of the regulation, which can be represented using CCO's Condition class with hasConditionExpression and appliesUnder properties linked to a Norm.",No
CQ253,Data Protection,Article 5(1)(c),"adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed""","Must personal data be adequate, relevant, and limited to what is necessary for the processing purposes?","cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on agents to ensure personal data meets specific criteria, which can be represented using CCO's Obligation class with hasAction and appliesToRole properties, and the condition can be captured via appliesUnder and Condition with hasConditionExpression.",Yes
CQ257,Data Protection,Article 5(2),"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1""",Who is responsible for demonstrating compliance with the principles of personal data processing?,"cco:Obligation, cco:Role, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for a specific role (controller) to perform an action (demonstrate compliance), which can be represented using CCO classes and properties.",Yes
CQ268,Data Protection,Article 10,"Processing of personal data relating to criminal convictions and offences or related security measures [...] shall be carried out only under the control of official authority [...]""",What role must an agent hold to lawfully process personal data relating to criminal convictions under Article 10?,"cco:Agent, cco:Obligation, cco:Role, cco:appliesToRole, cco:holdsRole",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on an agent to hold a specific role (official authority) to process certain data, which can be represented using CCO classes and properties.",Yes
CQ271,Data Protection,Article 12(1),"The controller shall take appropriate measures to provide any information [...] in a concise, transparent, intelligible and easily accessible form [...]""",What actions must a controller take to ensure transparent communication with data subjects under Article 12(1)?,"cco:Agent, cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for controllers (a role covered by cco:Role) to take specific actions (covered by cco:Action), which can be represented using the provided CCO classes and properties.",Yes
CQ273,Data Protection,Article 9(3),"That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia: the general conditions governing the lawfulness of processing [...]""",Which obligations are superseded by a new regulation concerning the adaptation of processing rules under Article 9(3)?,"cco:Obligation, cco:Regulation, cco:specifiesNorm, cco:supersedes",deepseek-ai/DeepSeek-V3.1,No,"The clause is purely definitional and lacks any explicit deontic statement (obligation, permission, or prohibition) required for CCO representation.",No
CQ275,Data Protection,Article 9(2)(e),"Processing relates to personal data which are manifestly made public by the data subject""",Which norms apply under the condition that processing is necessary for the performance of a task in the public interest under Article 9(2)(e)?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a permission for processing personal data under a specific condition, which can be represented using CCO's Permission class, appliesUnder property, and Condition class with hasConditionExpression for the text.",No
CQ279,Data Protection,Article 8(2),"The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child [...]""",What role must an agent hold to verify parental consent for processing a child’s data under Article 8(2)?,"cco:Obligation, cco:Role, cco:appliesToRole, cco:holdsRole",deepseek-ai/DeepSeek-V3.1,Yes,The clause contains an obligation with an explicit role requirement that can be represented using the provided CCO classes and properties.,Yes
CQ280,Data Protection,Article 12(3),"The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay.""",Which obligation specifies that the controller must inform the data subject of an extension to the response time within one month of receiving the request?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a role-based applicability, an action, and a temporal condition, all representable using the provided CCO classes and properties.",Yes
CQ282,Data Protection,Article 12(5),"Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character...""",Under what condition may the controller charge a fee or refuse to act on a data subject request?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The excerpt describes a condition under which an exception applies, which can be represented using CCO's Condition and Exception classes with the specified properties.",Yes
CQ284,Data Protection,Article 12(4),"...the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy.""",What information must the controller provide when it does not act on a data subject request?,"cco:Obligation, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on the controller (Agent) to provide specific information (Resource) when not acting on a request, which can be represented using CCO's Obligation, hasAction, and hasObject properties with generic class mappings.",Yes
CQ288,Data Protection,Article 12(5),"...or (b) refuse to act on the request.""",Which permission allows the controller to refuse to act on a manifestly unfounded or excessive request?,"cco:Exception, cco:Permission, cco:hasAction, cco:hasCondition, cco:hasException, cco:modifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (to refuse action) with an explicit condition (manifestly unfounded or excessive request), which can be represented using CCO's Permission, Action, Condition, and appliesUnder properties.",Yes
CQ291,Data Protection,Article 12(8),"The Commission shall be empowered to adopt delegated acts... for the purpose of determining the information to be presented by the icons...""",Which regulatory authority is empowered to adopt delegated acts concerning standardized icons?,"cco:Regulation, cco:RegulatoryAuthorityAgent, cco:hasValidityStart, cco:issues",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a clear deontic structure empowering a specific agent (Commission) to issue delegated acts, which can be represented using the provided CCO classes and properties, including RegulatoryAuthorityAgent, issues, and Regulation.",No
CQ304,Data Protection,Article 15(3),"For any further copies requested by the data subject, the controller may charge a reasonable fee based on administrative costs.""",Under what condition may the controller charge a fee for additional copies of personal data?,"cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition and can be represented using CCO's Permission, appliesUnder, hasAction, and hasObject properties.",Yes
CQ312,Data Protection,Article 17(3)(a),"processing is necessary for exercising the right of freedom of expression and information""",Under what condition does the right to erasure not apply due to the need to exercise freedom of expression and information?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes an exception condition for a norm (likely a prohibition or obligation related to erasure), which can be represented using CCO's Exception class linked to a Condition with the specified expression.",Yes
CQ320,Data Protection,Article 18(1)(d),"the data subject has objected to processing pursuant to Article 21(1) pending the verification whether the legitimate grounds of the controller override those of the data subject""",What obligation is triggered when a data subject objects to processing pending verification of legitimate grounds?,"cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for the controller to suspend processing, which can be represented using CCO classes (Obligation, Agent, Resource, Condition) and properties (hasAction, hasObject, appliesUnder, hasConditionExpression) with generic mappings.",Yes
CQ342,Data Protection,Article 24(1),"the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation""",What obligation does the controller have to implement technical and organisational measures for compliance?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an associated role (controller) and action (implement measures), which can be represented using the specified CCO classes and properties.",Yes
CQ346,Data Protection,Article 26(1),"Where two or more controllers jointly determine the purposes and means of processing, they shall be joint controllers.""",Which obligation applies when two or more controllers jointly determine the purposes and means of processing?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation (""they shall be joint controllers"") that can be represented using CCO:Obligation, appliesToRole for the joint controller role, and hasAction for the determining purposes and means processing action.",Yes
CQ355,Data Protection,Article 28(5),"Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate sufficient guarantees...""",Can adherence to an approved code of conduct be used to demonstrate sufficient guarantees by a processor?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a permission (a type of Norm) that applies under a specific condition (adherence to an approved code of conduct or certification mechanism), which can be represented using cco:appliesUnder and cco:hasConditionExpression.",Yes
CQ358,Data Protection,Article 28(9),"The contract or the other legal act referred to in paragraphs 3 and 4 shall be in writing, including in electronic form.""",What format must the contract between a controller and a processor take?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on agents in specific roles to perform an action (contract creation) on a resource (contract) with a condition (written or electronic format), which is fully representable using the specified CCO elements.",Yes
CQ372,Data Protection,Article 32(3),"Adherence to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate compliance...""",Does adherence to an approved code of conduct or certification mechanism affect compliance demonstration for security obligations?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a condition under which adherence to an approved code of conduct or certification mechanism can be used to demonstrate compliance with security obligations, which can be represented using cco:appliesUnder linking an Obligation to a Condition with the expression in hasConditionExpression.",Yes
CQ385,Data Protection,Article 38(2),"The controller and processor shall support the data protection officer in performing the tasks referred to in Article 39 by providing resources necessary to carry out those tasks and access to personal data and processing operations...""",What obligation requires the controller and processor to support the data protection officer with necessary resources and access to personal data?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with specified actions (""support"", ""providing resources"", ""access"") and objects (""resources"", ""personal data"", ""processing operations""), which can be represented using CCO classes and properties, including roles (""data protection officer"") and agents (""controller"", ""processor"") covered by generic classes.",Yes
CQ387,Data Protection,Article 38(5),"The data protection officer shall be bound by secrecy or confidentiality concerning the performance of his or her tasks, in accordance with Union or Member State law.""",Which obligation requires the data protection officer to be bound by confidentiality in accordance with Union or Member State law?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an agent (data protection officer), an action (bound by secrecy/confidentiality), and a condition (in accordance with Union or Member State law), all representable using CCO classes and properties.",Yes
CQ390,Data Protection,Article 39(1)(c),"to provide advice where requested as regards the data protection impact assessment and monitor its performance pursuant to Article 35""",What obligation requires the data protection officer to provide advice on data protection impact assessments?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for a role (data protection officer) to perform an action (provide advice) on a resource (data protection impact assessment), which can be represented using the provided CCO classes and properties.",Yes
CQ396,Data Protection,Article 40(7),"Where a draft code of conduct relates to processing activities in several Member States... submit it in the procedure referred to in Article 63 to the Board...""",What obligation requires the supervisory authority to submit a draft code of conduct to the Board when it relates to processing in several Member States?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a condition and can be represented using CCO classes and properties, including Obligation, Condition, appliesUnder, and hasAction.",Yes
CQ398,Data Protection,Article 40(8),"Where the opinion referred to in paragraph 7 confirms that the draft code... complies with this Regulation... the Board shall submit its opinion to the Commission.""",What obligation requires the Board to submit its opinion on a draft code of conduct to the Commission?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a condition and can be represented using CCO classes and properties, including Obligation, Condition, appliesUnder, hasAction, and hasObject.",Yes
CQ400,Data Protection,Article 40(10),"The Commission shall ensure appropriate publicity for the approved codes which have been decided as having general validity...""",What obligation requires the Commission to ensure appropriate publicity for codes of conduct with general validity?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an agent (Commission), an action (ensure appropriate publicity), and an object (approved codes with general validity), all representable using CCO classes and properties.",Yes
CQ406,Data Protection,Article 41(2)(d),"demonstrated to the satisfaction of the competent supervisory authority that its tasks and duties do not result in a conflict of interests""",What obligation requires a monitoring body to demonstrate that its duties do not result in a conflict of interests?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for a monitoring body (Agent/Role) to demonstrate (Action) regarding conflict of interests (Resource/Condition), which can be structurally represented using CCO classes and properties.",Yes
