cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score,dup_stage
CQ015,Data Protection,Article 12,"Article 16(2) TFEU mandates the European Parliament and the Council to lay down the rules...""",Which regulatory authority agent issues the Regulation on personal data protection?,"cco:Regulation, cco:RegulatoryAuthorityAgent, cco:issues",,,
CQ016,Data Protection,Article 14,"The protection afforded by this Regulation should apply to natural persons, whatever their nationality or place of residence...""",Which norms in the Regulation apply to natural persons regardless of their nationality or residence?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ017,Data Protection,Article 14,"This Regulation does not cover the processing of personal data which concerns legal persons...""",Does the Regulation apply to the processing of personal data concerning legal persons?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ018,Data Protection,Article 15,"The protection of natural persons should be technologically neutral and should not depend on the techniques used.""",Is the protection of natural persons under this Regulation technologically neutral?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ019,Data Protection,Article 13,"To ensure consistent monitoring... and equivalent sanctions in all Member States...""",Does the Regulation require equivalent sanctions for infringements in all Member States?,"cco:Obligation, cco:Role, cco:appliesToRole, cco:hasAction",,,
CQ020,Data Protection,Article 10,"The level of protection of the rights and freedoms of natural persons... should be equivalent in all Member States.""",Does the Regulation aim to ensure a high level of protection of personal data across all Member States?,"cco:Obligation, cco:Role, cco:appliesToRole, cco:hasAction",,,
CQ021,Data Protection,Article 2,"Such provisions may determine more precisely specific requirements for the processing of personal data by those competent authorities for those other purposes...""",Which regulation specifies norms that apply to the processing of personal data by competent authorities for specific purposes?,"cco:Condition, cco:Norm, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ022,Data Protection,Article 2,"to restrict by law certain obligations and rights when such a restriction constitutes a necessary and proportionate measure in a democratic society...""",What condition must be met for a Member State to restrict certain obligations and rights under this regulation?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ023,Data Protection,Article 2,"When the processing of personal data by private bodies falls within the scope of this Regulation, this Regulation should provide for the possibility...""",Which norms apply to the processing of personal data by private bodies when it falls within the scope of this regulation?,"cco:Norm, cco:Regulation, cco:Role, cco:appliesToRole, cco:specifiesNorm",,,
CQ024,Data Protection,Article 2,"It should be possible to entrust supervision of such data processing operations to specific bodies within the judicial system of the Member State...""",What type of norm is established when Member State law allows entrusting supervision of data processing to specific bodies within the judicial system?,"cco:Permission, cco:Resource, cco:hasAction, cco:hasObject",,,
CQ025,Data Protection,Article 2,"This Regulation is without prejudice to the application of Directive 2000/31/EC of the European Parliament and of the Council...""",Which regulation includes norms that do not affect the application of Directive 2000/31/EC?,"cco:Exception, cco:Norm, cco:Regulation, cco:hasCondition, cco:hasException, cco:modifiesNorm, cco:specifiesNorm",,,
CQ026,Data Protection,Article 3,"the processing of personal data of data subjects who are in the Union by a controller or a processor not established in the Union... offering goods or services...""",What condition determines whether a controller not established in the Union is subject to this regulation due to offering goods or services?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ027,Data Protection,Article 3,"The processing of personal data of data subjects who are in the Union... related to the monitoring of the behaviour of such data subjects in so far as their behaviour takes place within the Union.""",What action triggers the applicability of this regulation to a non-EU controller based on monitoring behavior within the Union?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ028,Data Protection,Article 3,"Where Member State law applies by virtue of public international law, this Regulation should also apply to a controller not established in the Union...""",Which regulation applies to a controller not established in the Union when Member State law applies via public international law?,"cco:Regulation, cco:hasValidityEnd, cco:hasValidityStart, cco:specifiesNorm",,,
CQ029,Data Protection,Article 4,"The principles of data protection should apply to any information concerning an identified or identifiable natural person.""",What type of information is covered by the data protection principles according to this regulation?,"cco:Condition, cco:Norm, cco:Resource, cco:appliesUnder, cco:hasConditionExpression, cco:hasObject",,,
CQ030,Data Protection,Article 4,"Personal data which have undergone pseudonymisation, which could be attributed to a natural person by the use of additional information...""",Under what condition are pseudonymised data considered personal data under this regulation?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ031,Data Protection,Article 4,"The principles of data protection should therefore not apply to anonymous information, namely information which does not relate to an identified or identifiable natural person...""",Which norms exclude the processing of anonymous information from the scope of this regulation?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ032,Data Protection,Article 4,"This Regulation does not apply to the personal data of deceased persons.""",Does this regulation apply to the personal data of deceased persons?,"cco:Prohibition, cco:Resource, cco:hasAction, cco:hasObject",,,
CQ033,Data Protection,Article 4,"Public authorities to which personal data are disclosed... for the exercise of their official mission... should not be regarded as recipients...""",What role is required for a public authority to receive personal data without being considered a recipient?,"cco:Norm, cco:Resource, cco:Role, cco:appliesToRole, cco:hasObject",,,
CQ034,Data Protection,Article 4,"Consent should be given by a clear affirmative act establishing a freely given, specific, informed and unambiguous indication...""",What action constitutes valid consent under this regulation?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ035,Data Protection,Article 4,"Silence, pre-ticked boxes or inactivity should not therefore constitute consent.""",What condition invalidates consent in the context of electronic service provision?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ036,Data Protection,Article 4,"Data subjects should be allowed to give their consent to certain areas of scientific research when in keeping with recognised ethical standards...""",What type of consent is allowed for scientific research when the purpose cannot be fully identified at collection time?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ037,Data Protection,Article 4,"Genetic data should be defined as personal data relating to the inherited or acquired genetic characteristics of a natural person...""",What defines genetic data under this regulation?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ038,Data Protection,Article 4,"Personal data concerning health should include all data pertaining to the health status of a data subject which reveal information relating to the past, current or future physical or mental health status...""",What types of information are included in personal data concerning health?,"cco:Condition, cco:Norm, cco:Resource, cco:appliesUnder, cco:hasConditionExpression, cco:hasObject",,,
CQ039,Data Protection,Article 4,"The main establishment of a controller in the Union should be the place of its central administration in the Union, unless the decisions on the purposes and means of the processing... are taken in another establishment...""",What determines the main establishment of a controller in the Union?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ040,Data Protection,Article 5,"Any processing of personal data should be lawful and fair.""",Which regulation specifies an obligation for the processing of personal data to be lawful and fair?,"cco:Obligation, cco:RegulationExpression, cco:appliesUnder, cco:specifiesNorm",,,
CQ041,Data Protection,Article 5,"The principle of transparency requires that any information and communication relating to the processing of those personal data be easily accessible and easy to understand...""",What condition must be met for personal data processing to comply with the transparency principle?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ042,Data Protection,Article 5,"time limits should be established by the controller for erasure or for a periodic review""",What action is required of the controller regarding the storage period of personal data?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,,
CQ043,Data Protection,Article 5,"The personal data should be adequate, relevant and limited to what is necessary for the purposes for which they are processed.""","Which norm requires that personal data be adequate, relevant, and limited to what is necessary?","cco:Obligation, cco:appliesUnder, cco:hasObject",,,
CQ044,Data Protection,Article 5,"Personal data should be processed in a manner that ensures appropriate security and confidentiality of the personal data, including for preventing unauthorised access...""",What security measures must be ensured during personal data processing?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ045,Data Protection,Article 6,"processing is based on the data subject's consent, the controller should be able to demonstrate that the data subject has given consent...""",Under what condition can consent serve as a legal basis for lawful processing?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ046,Data Protection,Article 6,"processing is necessary in the context of a contract or the intention to enter into a contract""",When is processing considered lawful under a contract?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ047,Data Protection,Article 6,"necessity for compliance with the legal obligation to which the controller is subject""",What type of legal basis is required when processing is necessary for compliance with a legal obligation?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ048,Data Protection,Article 6,"processing should also be regarded to be lawful where it is necessary to protect an interest which is essential for the life of the data subject or that of another natural person""",Which norm allows processing when it is necessary to protect the vital interests of the data subject or another natural person?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ049,Data Protection,Article 6,"provided that the interests or the fundamental rights and freedoms of the data subject are not overriding""",Under what condition can legitimate interests serve as a legal basis for processing?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",CQ045,0.82,B-similar
CQ050,Data Protection,Article 6,"The processing of personal data for direct marketing purposes may be regarded as carried out for a legitimate interest.""",Which regulation specifies a norm that allows processing for direct marketing purposes under legitimate interest?,"cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasAction, cco:specifiesNorm",,,
CQ051,Data Protection,Article 6,"Controllers that are part of a group of undertakings... may have a legitimate interest in transmitting personal data within the group...""",What role is required for a controller to transmit personal data within a group of undertakings for internal administrative purposes?,"cco:Permission, cco:appliesToRole, cco:hasAction, cco:hasObject",,,
CQ052,Data Protection,Article 6,"The processing of personal data to the extent strictly necessary and proportionate for the purposes of ensuring network and information security...""",What action is permitted when processing is strictly necessary for network and information security?,"cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasObject",,,
CQ053,Data Protection,Article 5,"time limits should be established by the controller for erasure or for a periodic review""",Which regulation issues a norm requiring time limits for erasure or periodic review of personal data?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",,,
CQ054,Data Protection,Article 5,"Personal data should be processed in a manner that ensures appropriate security and confidentiality of the personal data...""",What resource is subject to processing under the obligation to ensure appropriate security?,"cco:Obligation, cco:Resource, cco:hasObject",,,
CQ055,Data Protection,Article 5,"The processing of personal data for purposes other than those for which the personal data were initially collected should be allowed only where the processing is compatible...""",Which regulation specifies a norm that allows further processing of personal data when it is compatible with the original purpose?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ056,Data Protection,Article 5,"The processing of personal data for purposes other than those for which the personal data were initially collected should be allowed only where the processing is compatible...""",What action is permitted by a norm that applies under the condition of compatibility with the original purpose of data collection?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ057,Data Protection,Article 5,"The processing of personal data for purposes other than those for which the personal data were initially collected should be allowed only where the processing is compatible...""",Which condition must be satisfied for further processing of personal data to be considered lawful under a permission?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ058,Data Protection,Article 5,"Further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes should be considered to be compatible lawful processing operations.""","Which regulation includes a norm permitting further processing of personal data for archiving, research, or statistical purposes in the public interest?","cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ059,Data Protection,Article 5,"If the processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller...""",What role may a norm apply to when allowing further processing of personal data based on public interest tasks?,"cco:Permission, cco:Role, cco:appliesToRole",,,
CQ060,Data Protection,Article 5,"The legal basis provided by Union or Member State law for the processing of personal data may also provide a legal basis for further processing.""",Which regulation specifies a norm that permits further processing of personal data based on Union or Member State law providing a legal basis?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ061,Data Protection,Article 5,"the controller... should take into account, inter alia: any link between those purposes and the purposes of the intended further processing...""",What factors should a controller consider to determine if further processing is compatible with the original purpose?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ062,Data Protection,Article 5,"Where the data subject has given consent... the controller should be allowed to further process the personal data irrespective of the compatibility of the purposes.""","Is there a permission for further processing of personal data when the data subject has given consent, regardless of purpose compatibility?","cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ063,Data Protection,Article 5,"However, such transmission... should be prohibited if the processing is not compatible with a legal, professional or other binding obligation of secrecy.""",Which regulation specifies a norm that prohibits further processing of personal data if it violates a legal or professional obligation of secrecy?,"cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ064,Data Protection,Article 5,"However, such transmission in the legitimate interest of the controller or further processing of personal data should be prohibited if the processing is not compatible with a legal, professional or other binding obligation of secrecy.""",What action is prohibited under a norm that applies when further processing conflicts with a binding obligation of secrecy?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ065,Data Protection,Article 9,"Such personal data should not be processed, unless processing is allowed in specific cases set out in this Regulation...""",Which regulation specifies a norm that requires processing of special categories of personal data to be based on explicit consent or specific legal provisions?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ066,Data Protection,Article 9,"Derogations from the general prohibition... inter alia, where the data subject gives his or her explicit consent or in respect of specific needs... by certain associations or foundations...""",What condition must be met for processing special categories of personal data in the context of legitimate activities by associations?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ067,Data Protection,Article 9,"Derogating from the prohibition... where it is in the public interest to do so, in particular processing personal data in the field of employment law, social protection law including pensions and for health security...""","Which regulation allows derogations from the prohibition on processing special categories of personal data for employment, social protection, or health security purposes?","cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ068,Data Protection,Article 9,"in particular where the processing of such data is carried out for certain health-related purposes by persons subject to a legal obligation of professional secrecy.""",What role may be involved in the processing of special categories of personal data for health-related purposes under a permission?,"cco:Permission, cco:Role, cco:appliesToRole",,,
CQ069,Data Protection,Article 9,"A derogation should also allow the processing of such personal data where necessary for the establishment, exercise or defence of legal claims...""","Which regulation specifies a norm permitting processing of special categories of personal data for the establishment, exercise, or defence of legal claims?","cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ070,Data Protection,Article 9,"The processing of special categories of personal data may be necessary for reasons of public interest in the areas of public health without consent of the data subject.""",What action is permitted under a norm that applies when processing special categories of personal data is necessary for public health purposes?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ071,Data Protection,Article 9,"The processing of personal data by official authorities for the purpose of achieving the aims... of officially recognised religious associations, is carried out on grounds of public interest.""",Which regulation specifies a norm that permits processing of personal data by official authorities for religious purposes grounded in public interest?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ072,Data Protection,Article 9,"the processing of such data may be permitted for reasons of public interest, provided that appropriate safeguards are established.""",What condition applies to the processing of personal data for political opinions during electoral activities?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ073,Data Protection,Article 11,"the data controller should not be obliged to acquire additional information in order to identify the data subject for the sole purpose of complying with any provision of this Regulation.""",Which regulation specifies a norm that relieves a controller from acquiring additional information to identify a data subject?,"cco:Exception, cco:Obligation, cco:Regulation, cco:hasCondition, cco:hasException, cco:modifiesNorm, cco:specifiesNorm",,,
CQ074,Data Protection,Article 11,"If the personal data processed by a controller do not permit the controller to identify a natural person, the data controller should not be obliged to acquire additional information...""",What exception modifies a norm requiring identification of the data subject when the controller cannot identify the individual from the data held?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ075,Data Protection,Article 12,"Given that children merit specific protection, any information and communication... should be in such a clear and plain language that the child can easily understand.""","Which regulation specifies a norm requiring information to be provided in clear and plain language, especially when addressed to children?","cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ076,Data Protection,Article 12,"The principle of transparency requires that any information addressed to the public or to the data subject be concise, easily accessible and easy to understand...""",What action must a controller take to comply with a transparency obligation when providing information to data subjects?,"cco:Obligation, cco:hasAction",,,
CQ077,Data Protection,Article 12,"The controller should also provide means for requests to be made electronically, especially where personal data are processed by electronic means.""",Which regulation specifies a norm requiring controllers to provide electronic means for data subjects to exercise their rights?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",,,
CQ078,Data Protection,Article 12,"The controller should be obliged to respond to requests from the data subject without undue delay and at the latest within one month...""",What is the maximum time allowed for a controller to respond to a data subject request under a specified obligation?,cco:Obligation,,,
CQ079,Data Protection,Article 13,"Furthermore, the data subject should be informed of the existence of profiling and the consequences of such profiling.""",Which regulation specifies a norm requiring the controller to inform the data subject about the existence of profiling and its consequences?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",,,
CQ080,Data Protection,Article 13(2)(b),"the data subject should also be informed [...] of the consequences, where he or she does not provide such data.""",Which obligation specifies that the data subject must be informed about the consequences of not providing personal data?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,,
CQ081,Data Protection,Article 13(1)(a),"the purposes of the processing for which the personal data are intended""",What resource is the obligation to inform the data subject about processing purposes applied to?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ082,Data Protection,Article 12(1),"in an easily visible, intelligible and clearly legible manner, a meaningful overview of the intended processing""","Which obligation requires that information be provided in a clearly legible and intelligible manner, possibly using standardized icons?","cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ083,Data Protection,Article 13(1),"at the time of collection from the data subject""",When must information be provided to the data subject if personal data are collected from the data subject?,cco:Obligation,,,
CQ084,Data Protection,Article 14(1),"within a reasonable period, depending on the circumstances of the case""",What condition allows for delayed provision of information when personal data are obtained from another source?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ085,Data Protection,Article 14(4),"the controller should provide the data subject prior to that further processing with information on that other purpose""",Which obligation requires the controller to inform the data subject prior to further processing for a different purpose?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ086,Data Protection,Article 14(2)(a),"it is not necessary to impose the obligation to provide information where the data subject already possesses the information""",Under what condition is the obligation to provide information waived because the data subject already has the information?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ087,Data Protection,Article 14(2)(c),"the provision of information to the data subject proves to be impossible or would involve a disproportionate effort""",Which exception applies when providing information would involve a disproportionate effort?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ088,Data Protection,Article 15(1),"the data subject should have the right of access to personal data which have been collected concerning him or her""",What obligation grants the data subject the right to access their personal data?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ089,Data Protection,Article 12(6),"the controller should use all reasonable measures to verify the identity of a data subject who requests access""",Which obligation requires the controller to verify the identity of the data subject requesting access?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ090,Data Protection,Article 16,"A data subject should have the right to have personal data concerning him or her rectified""",What obligation allows the data subject to have their personal data rectified?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ091,Data Protection,Article 17(1)(a),"the personal data are no longer necessary in relation to the purposes for which they are collected""",Under which condition can a data subject exercise the right to be forgotten?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ092,Data Protection,Article 17(2),"a controller who has made the personal data public should be obliged to inform the controllers which are processing such personal data""",Which obligation requires a controller who has made personal data public to inform other controllers to erase links or copies?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ093,Data Protection,Article 17(3)(d),"the further retention of the personal data should be lawful where it is necessary for archiving purposes in the public interest""",What condition permits retention of personal data despite a request for erasure for public interest archiving?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ094,Data Protection,Article 20(1),"the data subject should also be allowed to receive personal data concerning him or her [...] in a structured, commonly used, machine-readable [...] format""","Which obligation allows the data subject to receive their personal data in a structured, machine-readable format?","cco:Permission, cco:hasAction, cco:hasObject",,,
CQ095,Data Protection,Article 20(2),"It should not apply where processing is based on a legal ground other than consent or contract""",Under what condition does the right to data portability not apply?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ096,Data Protection,Article 21(1),"a data subject should, nevertheless, be entitled to object to the processing of any personal data relating to his or her particular situation""",Which obligation allows the data subject to object to processing based on legitimate interests?,"cco:Permission, cco:appliesUnder, cco:hasAction",,,
CQ097,Data Protection,Article 21(2),"the data subject should have the right to object to such processing, including profiling [...] at any time and free of charge""",What obligation grants the data subject the right to object to processing for direct marketing?,"cco:Permission, cco:hasAction, cco:hasObject",,,
CQ098,Data Protection,Article 22(2),"decision-making based on such processing [...] should be allowed where expressly authorised by Union or Member State law""",Under which condition is automated decision-making allowed despite the general prohibition?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ099,Data Protection,Article 22(3),"such processing should be subject to suitable safeguards, which should include [...] the right to obtain human intervention""","Which obligation requires that safeguards be implemented for automated decision-making, including the right to human intervention?","cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ100,Data Protection,Article 24,"the controller should be obliged to implement appropriate and effective measures and be able to demonstrate the compliance of processing activities with this Regulation""",Which obligations apply to controllers regarding the implementation of appropriate and effective measures to ensure compliance with the Regulation?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ101,Data Protection,Article 24,"the controller should be obliged to implement appropriate and effective measures and be able to demonstrate the compliance of processing activities with this Regulation""",What action is required of a controller to demonstrate compliance with data protection requirements?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ102,Data Protection,Article 25,"the controller should adopt internal policies and implement measures which meet in particular the principles of data protection by design and data protection by default""",Which regulation specifies obligations for controllers to implement technical and organisational measures in accordance with data protection principles?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",,,
CQ103,Data Protection,Article 25,"Such measures could consist, inter alia, of minimising the processing of personal data, pseudonymising personal data as soon as possible""",What type of norm requires controllers to minimise the processing of personal data as part of data protection by design?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ104,Data Protection,Article 35,"the controller should be responsible for the carrying-out of a data protection impact assessment to evaluate, in particular, the origin, nature, particularity and severity of that risk""",Which obligations apply under conditions involving high risk to the rights and freedoms of natural persons?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ105,Data Protection,Article 35,"the controller should be responsible for the carrying-out of a data protection impact assessment to evaluate, in particular, the origin, nature, particularity and severity of that risk""",What action must a controller take when processing is likely to result in a high risk to data subjects?,"cco:Obligation, cco:hasAction",,,
CQ106,Data Protection,Article 30,"the controller or processor should maintain records of processing activities under its responsibility""",Which regulation specifies an obligation for the controller to maintain records of processing activities?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",,,
CQ107,Data Protection,Article 28,"After the completion of the processing on behalf of the controller, the processor should, at the choice of the controller, return or delete the personal data""",What obligation applies to a processor regarding the return or deletion of personal data after processing ends?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ108,Data Protection,Article 27,"unless the processing is occasional, does not include processing, on a large scale, of special categories of personal data... and is unlikely to result in a risk to the rights and freedoms of natural persons""",Under what condition may a non-EU established controller or processor avoid designating a representative in the Union?,"cco:Condition, cco:Exception, cco:appliesUnder, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",,,
CQ109,Data Protection,Article 27,"unless the processing is occasional, does not include processing, on a large scale, of special categories of personal data... and is unlikely to result in a risk to the rights and freedoms of natural persons""",Which norm is modified by an exception allowing non-EU controllers to avoid appointing a representative under specific low-risk conditions?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ110,Data Protection,Article 28,"After the completion of the processing on behalf of the controller, the processor should, at the choice of the controller, return or delete the personal data""",What action must a processor perform upon completion of processing activities on behalf of a controller?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
