cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score,dup_stage
CQ026,Healthcare,Article 5.2,"In exceptional circumstances, and supported by a new implementation plan, the State Party may request a further extension not exceeding two years...""",What additional condition allows a State Party to request a further extension of up to two years?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ027,Healthcare,Article 5.2,"the State Party that has obtained an extension shall report annually to WHO on progress made towards the full implementation.""",What obligation does a State Party have after receiving an extension under Article 5.2?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ028,Healthcare,Article 5.3,"WHO shall assist States Parties, upon request, to develop, strengthen and maintain the core capacities referred to in paragraph 1 of this Article.""",What obligation does WHO have regarding assistance to States Parties in developing core capacities?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ029,Healthcare,Article 6.1,"Each State Party shall assess events occurring within its territory by using the decision instrument in Annex 2.""",What action is required of each State Party regarding the assessment of public health events using the decision instrument in Annex 2?,"cco:Obligation, cco:hasAction",,,
CQ030,Healthcare,Article 6.1,"Each State Party shall notify WHO... within 24 hours of assessment of public health information, of all events which may constitute a public health emergency of international concern...""",What obligation does each State Party have regarding notification to WHO of events that may constitute a public health emergency of international concern?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ031,Healthcare,Article 6.1,"notify WHO, by the most efficient means of communication available, by way of the National IHR Focal Point...""",What resource is involved in the obligation to notify WHO of public health events?,"cco:Obligation, cco:Resource, cco:hasObject",,,
CQ032,Healthcare,Article 6.2,"a State Party shall continue to communicate to WHO timely, accurate and sufficiently detailed public health information available to it on the notified event...""",What obligation does a State Party have following a notification under Article 6?,"cco:Obligation, cco:hasAction",,,
CQ033,Healthcare,Article 7,"it shall provide to WHO all relevant public health information. In such a case, the provisions of Article 6 shall apply in full.""",What obligation does a State Party have when it has evidence of an unexpected or unusual public health event that may constitute a public health emergency of international concern?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ034,Healthcare,Article 8,"a State Party should nevertheless keep WHO advised thereof through the National IHR Focal Point and consult with WHO on appropriate health measures in a timely manner.""",What obligation exists for a State Party to consult with WHO on events not requiring notification under Article 6?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ035,Healthcare,Article 9.1,"WHO may take into account reports from sources other than notifications or consultations and shall assess these reports according to established epidemiological principles...""",What obligation does WHO have regarding the assessment of reports from sources other than notifications or consultations?,"cco:Obligation, cco:hasAction",,,
CQ036,Healthcare,Article 9.2,"States Parties shall, as far as practicable, inform WHO within 24 hours of receipt of evidence of a public health risk identified outside their territory that may cause international disease spread...""",What obligation do States Parties have regarding reporting public health risks identified outside their territory that may cause international disease spread?,"cco:Obligation, cco:hasAction",,,
CQ037,Healthcare,Article 10.1,"WHO shall request, in accordance with Article 9, verification from a State Party of reports from sources other than notifications or consultations...""",What obligation does WHO have to request verification from a State Party regarding reports from non-notification sources?,"cco:Obligation, cco:hasAction",,,
CQ038,Healthcare,Article 10.2,"each State Party, when requested by WHO, shall verify and provide: (a) within 24 hours, an initial reply to, or acknowledgement of, the request from WHO...""",What obligation does a State Party have when requested by WHO to verify a report under Article 10?,"cco:Obligation, cco:hasAction",,,
CQ039,Healthcare,Article 10.3,"WHO shall offer to collaborate with the State Party concerned in assessing the potential for international disease spread, possible interference with international traffic...""",What obligation does WHO have to offer collaboration with a State Party in assessing a potential public health emergency?,"cco:Obligation, cco:hasAction",,,
CQ040,Healthcare,Article 10.4,"when justified by the magnitude of the public health risk, WHO should share with other States Parties the information about the event available to it...""",Under what condition should WHO share information with other States Parties if a State Party does not accept collaboration?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ041,Healthcare,Article 11.1,"WHO shall send to all States Parties and, as appropriate, to relevant intergovernmental organizations, as soon as possible and by the most efficient means available, in confidence...""",What obligation does WHO have regarding the provision of public health information to all States Parties under Article 11?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ042,Healthcare,Article 11.2,"unless otherwise agreed... shall not make this information generally available... until such time as: (a) the event is determined to constitute a public health emergency...""",Under what conditions may WHO make information received under Articles 6 and 8 generally available to other States Parties?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ043,Healthcare,Article 11.3,"WHO shall consult with the State Party in whose territory the event is occurring as to its intent to make information available under this Article.""",What obligation does WHO have regarding consultation with the State Party before making information available under Article 11?,"cco:Obligation, cco:hasAction",,,
CQ044,Healthcare,Article 11.4,"WHO may also make it available to the public if other information about the same event has already become publicly available and there is a need for dissemination...""",Under what condition may WHO make information available to the public under Article 11?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,,
CQ045,Healthcare,Article 12.1,"The Director-General shall determine, on the basis of the information received... whether an event constitutes a public health emergency of international concern...""",What obligation does the Director-General have regarding the determination of a public health emergency of international concern?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ046,Healthcare,"Article 12, paragraph 2","the Director-General shall consult with the State(s) Party(ies) in whose territory(ies) the event is occurring...""",Which regulation specifies an obligation for the Director-General to consult with the State Party when a public health event is occurring?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ047,Healthcare,"Article 12, paragraph 3","a determination shall be made in accordance with the procedure set forth in Article 49.""",What action is required of the Director-General if there is no consensus within 48 hours on whether an event constitutes a public health emergency of international concern?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ048,Healthcare,"Article 12, paragraph 4","the Director-General shall consider: (a) information provided by the State(s) Party(ies); (b) the decision instrument...""",What conditions must the Director-General consider when determining whether an event constitutes a public health emergency of international concern?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ049,Healthcare,"Article 12, paragraph 4 bis","the Director-General shall further determine... whether the public health emergency... also constitutes a pandemic emergency.""",Is there an obligation for the Director-General to determine whether a public health emergency of international concern also constitutes a pandemic emergency?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ050,Healthcare,"Article 12, paragraph 5","considers that a public health emergency... has ended, because it no longer meets the relevant definition in Article 1""",Under what condition may the Director-General decide that a public health emergency of international concern has ended?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ051,Healthcare,"Article 13, paragraph 1","Each State Party shall develop, strengthen and maintain... the core capacities to prevent, prepare for, and respond...""",What core capacities are State Parties obligated to develop within five years of the Regulations’ entry into force?,"cco:Obligation, cco:hasAction",,,
CQ052,Healthcare,"Article 13, paragraph 2","a State Party may report to WHO... and, in so doing, obtain an extension of two years...""",Can a State Party obtain an extension to fulfill its obligation to develop core capacities?,"cco:Permission, cco:appliesToRole, cco:hasAction",,,
CQ053,Healthcare,"Article 13, paragraph 2","the State Party may request a further extension... supported by a new implementation plan... taking into account the technical advice of the Review Committee""",What role does the Review Committee play in granting a further extension beyond two years for implementing core capacities?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ054,Healthcare,"Article 13, paragraph 2","the State Party that has obtained an extension shall report annually to WHO on progress made...""",Are State Parties required to report annually on progress after receiving an extension for core capacity implementation?,"cco:Obligation, cco:hasAction",,,
CQ055,Healthcare,"Article 13, paragraph 3","WHO shall collaborate in the response... by providing technical guidance and assistance...""",What action must WHO take upon request of a State Party regarding public health risks?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ056,Healthcare,"Article 13, paragraph 4","If WHO... determines that a public health emergency... is occurring, it may offer... further assistance...""",Under what condition may WHO offer further assistance to a State Party during a public health emergency of international concern?,"cco:Permission, cco:appliesUnder, cco:hasAction",,,
CQ057,Healthcare,"Article 13, paragraph 5","States Parties should provide, to the extent possible, support to WHO-coordinated response activities.""",What action should States Parties take when requested by WHO during a public health emergency?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ058,Healthcare,"Article 13, paragraph 6","WHO shall provide appropriate guidance and assistance to other States Parties affected or threatened...""",What assistance must WHO provide to other affected or threatened States Parties during a public health emergency?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ059,Healthcare,"Article 13, paragraph 7","WHO shall support States Parties... and coordinate international response activities... after their determination pursuant to Article 12""",When must WHO support and coordinate international response activities during public health emergencies?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ060,Healthcare,"Article 13, paragraph 8","the Director-General shall: (a) conduct, and periodically review and update, assessments of the public health needs...""",What actions must the Director-General take to facilitate equitable access to relevant health products during a public health emergency?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ061,Healthcare,"Article 13, paragraph 8(d)","share with a State Party, upon its request, the product dossier... within 30 days of receiving such request""",What role does WHO play in sharing product dossiers with State Parties upon request?,"cco:Obligation, cco:hasAction",,,
CQ062,Healthcare,"Article 13, paragraph 9","States Parties shall undertake... to collaborate with, and assist each other and to support WHO-coordinated response activities""",Are States Parties required to assist each other and support WHO-coordinated activities during public health emergencies?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ063,Healthcare,"Article 15, paragraph 1","the Director-General shall issue temporary recommendations in accordance with the procedure set out in Article 49""",What action must the Director-General take if a public health emergency of international concern is determined under Article 12?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ064,Healthcare,"Article 15, paragraph 2","Temporary recommendations may include health measures... regarding persons, baggage, cargo, containers, conveyances, goods...""",What types of health measures may be included in temporary recommendations issued by the Director-General?,"cco:Permission, cco:hasAction, cco:hasObject",,,
CQ065,Healthcare,"Article 15, paragraph 2 bis","when communicating... the issuance, modification or extension of temporary recommendations, should provide available information...""",When should the Director-General provide information about WHO-coordinated mechanisms for access to health products?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ066,Healthcare,"Article 15, paragraph 3","They may be modified or extended for additional periods of up to three months. Temporary recommendations may not continue beyond the second World Health Assembly...""",When do temporary recommendations automatically expire?,cco:Obligation,,,
CQ067,Healthcare,"Article 16, paragraph 1","WHO may make standing recommendations of appropriate health measures in accordance with Article 53 for routine or periodic application.""",Can WHO issue standing recommendations for routine application of health measures?,"cco:Permission, cco:appliesUnder, cco:hasAction",,,
CQ068,Healthcare,"Article 16, paragraph 2","should provide available information on any WHO-coordinated mechanism(s) concerning access to, and allocation of, relevant health products...""",What information should the Director-General provide when issuing standing recommendations?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,,
CQ069,Healthcare,Article 17,"the Director-General shall consider: (a) the views of the States Parties directly concerned; (b) the advice of the Emergency Committee...""",What criteria must the Director-General consider when issuing temporary or standing recommendations?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
CQ070,Healthcare,Article 17,"With respect to temporary recommendations, the consideration by the Director-General of subparagraphs (e) and (f) of this Article may be subject to limitations...""",Are temporary recommendations subject to different considerations under urgent circumstances?,"cco:Obligation, cco:appliesUnder, cco:hasException",,,
CQ071,Healthcare,Article 19(a),"ensure that the core capacities set forth in Part B of Annex 1 for designated points of entry are developed within the time frame...""",Which obligations apply to State Parties regarding the development of core capacities at designated points of entry?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ072,Healthcare,Article 19(b),"identify the competent authorities at each designated point of entry in its territory""",Which obligations require State Parties to identify competent authorities at each designated point of entry?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ073,Healthcare,Article 19(c),"furnish to WHO, as far as practicable, when requested in response to a specific potential public health risk, relevant data...""",Under what condition may a State Party be required to furnish data to WHO concerning sources of infection at points of entry?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ074,Healthcare,Article 20.1,"States Parties shall designate the airports and ports that shall develop the core capacities provided in Part B of Annex 1""",What obligation do States Parties have regarding the designation of airports and ports for core capacity development?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ075,Healthcare,Article 20.2,"States Parties shall ensure that Ship Sanitation Control Exemption Certificates and Ship Sanitation Control Certificates are issued...""",What obligation do States Parties have regarding the issuance of Ship Sanitation Control Certificates?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ076,Healthcare,Article 20.3(a),"Each State Party shall send to WHO a list of ports authorized to offer: (a) the issuance of Ship Sanitation Control Certificates...""",What must each State Party send to WHO regarding ports authorized to issue Ship Sanitation Control Certificates?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ077,Healthcare,Article 20.3,"Each State Party shall inform WHO of any changes which may occur to the status of the listed ports""",What must each State Party report to WHO regarding changes in the status of listed ports?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ078,Healthcare,Article 20.4,"WHO may, at the request of the State Party concerned, arrange to certify... that an airport or port meets the requirements...""",Under what conditions may WHO certify an airport or port after investigation?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ079,Healthcare,Article 20.5,"WHO shall develop and publish the certification guidelines for airports and ports under this Article""",What role does WHO have in developing certification guidelines for airports and ports?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ080,Healthcare,Article 21.1,"Where justified for public health reasons, a State Party may designate ground crossings that shall develop the core capacities...""",Under what public health justification may a State Party designate ground crossings for core capacity development?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ081,Healthcare,Article 21.1(a)-(b),"taking into consideration: (a) the volume and frequency of the various types of international traffic... (b) the public health risks...""",What factors should be considered when designating ground crossings for core capacity development?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,,
CQ082,Healthcare,Article 22.1(a),"be responsible for monitoring baggage, cargo, containers, conveyances, goods, postal parcels and human remains departing and arriving...""","What obligations do competent authorities have regarding monitoring of baggage, cargo, and conveyances from affected areas?","cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ083,Healthcare,Article 22.1(b),"ensure, as far as practicable, that facilities used by travellers at points of entry are maintained in a sanitary condition...""",What obligation do competent authorities have to maintain sanitary conditions at traveller facilities?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ084,Healthcare,Article 22.1(c),"be responsible for the supervision of any deratting, disinfection, disinsection or decontamination of baggage, cargo, containers...""","What supervision responsibilities do competent authorities have regarding deratting, disinfection, and decontamination?","cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ085,Healthcare,Article 22.1(d),"advise conveyance operators, as far in advance as possible, of their intent to apply control measures to a conveyance...""",When must competent authorities advise conveyance operators about intended control measures?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ086,Healthcare,Article 22.1(e),"be responsible for the supervision of the removal and safe disposal of any contaminated water or food, human or animal dejecta...""",What responsibilities do competent authorities have regarding disposal of contaminated matter from conveyances?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ087,Healthcare,Article 22.1(f),"take all practicable measures... to monitor and control the discharge by ships of sewage, refuse, ballast water and other potentially disease-causing matter""",What measures must competent authorities take to monitor and control ship discharges?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ088,Healthcare,Article 22.1(g),"be responsible for supervision of service providers for services concerning travellers, baggage, cargo, containers, conveyances...""",What supervision responsibilities do competent authorities have over service providers at points of entry?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ089,Healthcare,Article 22.1(h),"have effective contingency arrangements to deal with an unexpected public health event""",What contingency arrangements must competent authorities have in place?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ090,Healthcare,Article 22.1(i),"communicate with the National IHR Focal Point on the relevant public health measures taken pursuant to these Regulations""",How must competent authorities communicate public health measures taken under the Regulations?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ091,Healthcare,Article 22.2,"Health measures recommended by WHO... may be reapplied on arrival, if there are verifiable indications... that the measures applied on departure were unsuccessful""",Under what condition may WHO-recommended health measures be reapplied on arrival?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ092,Healthcare,Article 22.3,"shall be carried out so as to avoid injury and as far as possible discomfort to persons, or damage to the environment... or damage to baggage, cargo...""",How must sanitary procedures be carried out to avoid harm?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ093,Healthcare,Article 23.1(a)(i)-(iii),"information concerning the traveller's destination... itinerary... review of the traveller's health documents... non-invasive medical examination""",What information may a State Party require from travellers on arrival or departure?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ094,Healthcare,Article 23.1(b),"inspection of baggage, cargo, containers, conveyances, goods, postal parcels and human remains""","What inspection powers do States Parties have regarding baggage, cargo, and conveyances?","cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,,
CQ095,Healthcare,Article 23.2,"On the basis of evidence of a public health risk... States Parties may apply additional health measures... on a case-by-case basis""",Under what evidence may States Parties apply additional health measures to suspect or affected travellers?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ096,Healthcare,Article 23.3,"No medical examination... shall be carried out on travellers without their prior express informed consent... except as provided in paragraph 2 of Article 31""",When may medical examinations be conducted without prior informed consent?,"cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ097,Healthcare,Article 23.4,"Travellers to be vaccinated... shall be informed of any risk associated with vaccination or with non-vaccination...""",What information must be provided to travellers or guardians regarding vaccination risks?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ098,Healthcare,Article 23.5,"only be performed... in accordance with established national or international safety guidelines and standards so as to minimize such a risk""",Under what standards must medical procedures involving disease transmission risk be performed?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ099,Healthcare,Article 24.1(a),"States Parties shall take all practicable measures... to ensure that conveyance operators comply with the health measures recommended by WHO...""",What obligations do States Parties have to ensure conveyance operators comply with WHO-recommended health measures?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ100,Healthcare,Article 24.1(b),"inform travellers of the health measures recommended by WHO and adopted by the State Party, including for application on board...""",What obligation do States Parties have to inform travellers about health measures on conveyances?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ101,Healthcare,Article 24.1(c),"permanently keep conveyances for which they are responsible free of sources of infection or contamination, including vectors and reservoirs""",What obligation do conveyance operators have regarding maintaining conveyances free of infection sources?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ102,Healthcare,Article 25(a),"no health measure shall be applied by a State Party to: (a) a ship not coming from an affected area which passes through a maritime canal...""",Under what conditions shall no health measure be applied to ships not coming from affected areas transiting maritime canals?,"cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ103,Healthcare,Article 25(b),"a ship which passes through waters within its jurisdiction without calling at a port or on the coast""",Under what conditions shall no health measure be applied to ships passing through waters without calling at port?,"cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ104,Healthcare,Article 25(c),"an aircraft in transit at an airport within its jurisdiction, except that the aircraft may be restricted to a particular area... with no embarking and disembarking""",Under what conditions may an aircraft in transit be restricted at an airport?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ105,Healthcare,Article 26,"no health measure shall be applied to a civilian lorry, train or coach not coming from an affected area which passes through a territory without embarking...""","Under what conditions shall no health measure be applied to civilian lorries, trains, or coaches in transit?","cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ106,Healthcare,Article 27.1,"are found on board a conveyance, the competent authority shall consider the conveyance as affected and may: (a) disinfect, decontaminate, disinsect or derat the conveyance...""",Which obligation applies to a conveyance found with evidence of infection or contamination under the International Health Regulations?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:hasObject",,,
