cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score
CQ016,Education,28,"From 1 January 2026, apprentices starting a Level 7 apprenticeship standard will only be eligible for funding if... aged between 16 and 21... or aged 22–24 with EHC plan or in care.""",What age and status conditions apply to eligibility for Level 7 apprenticeship funding starting 1 January 2026?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasApplicabilityStartExpression, cco:hasConditionExpression",,
CQ017,Education,29.1,"Are self-employed as a sole trader""",Is it prohibited to fund a self-employed sole trader as an apprentice?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ018,Education,29.2,"Are working under IR35... unless they meet one of the alternative English apprenticeship arrangements.""",Is it prohibited to fund an apprentice working under IR35 unless they meet alternative arrangements?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ019,Education,29.3,"Are a shareholder, director or person of significant control, with no separate identifiable line manager to undertake the role of ‘employer’...""","What condition makes a shareholder, director, or person of significant control ineligible for funding?","cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ020,Education,29.3.1,"During the apprenticeship, if an apprentice becomes self-employed as a sole trader... they will no longer be eligible for funding...""",Does eligibility cease if an apprentice becomes a sole trader or person of significant control during the apprenticeship?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ021,Education,29.4,"Are undertaking another apprenticeship""",Is it prohibited to fund an individual who is already undertaking another apprenticeship?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ022,Education,29.5.1,"Replicate vocational and other learning aims covered by the apprenticeship, including English and /or maths""",Is it prohibited to fund an apprentice whose training replicates vocational learning from an Adult Skills Fund course?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ023,Education,29.5.2,"Offer career related training that conflicts with the apprenticeship aims""",Is it prohibited to fund training that conflicts with apprenticeship aims if funded by the Adult Skills Fund?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ024,Education,29.5.3,"Take place during working hours.""",Is it prohibited to fund an apprenticeship if the training occurs during working hours under the Adult Skills Fund?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ025,Education,29.5.4,"An individual may commence an apprenticeship and attract funding where they have less than four weeks to completion of an existing DfE funded course.""",Is there an exception allowing funding for an apprentice close to completing a DfE-funded course?,"cco:Condition, cco:Exception, cco:Permission, cco:appliesUnder, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",,
CQ026,Education,29.6,"Are in receipt of any other direct/indirect DfE funding during their apprenticeship""",Is it prohibited to fund an apprentice who receives other direct or indirect DfE funding during their apprenticeship?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ027,Education,29.7,"Are undertaking any part of an apprenticeship whilst on a sandwich placement as part of a degree.""",Is it prohibited to fund an apprentice undertaking part of an apprenticeship during a sandwich placement?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ028,Education,29.8,"From 1 January 2026, are starting a Level 7 apprenticeship standard subject to the exceptions detailed in paragraph 28.""","From 1 January 2026, is it prohibited to fund Level 7 apprenticeships except under specific age and status conditions?","cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasApplicabilityStartExpression, cco:hasConditionExpression",,
CQ029,Education,Evidence requirements,"The provider must retain evidence of an individual’s eligibility, including: Confirmation of residency, funding eligibility, date of birth, working hours in England, employment status, and non-enrolment in other programmes.""",What obligation does a provider have to retain evidence of an individual’s eligibility?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ030,Education,30,"Funds must not be used to pay for training for knowledge, skills and behaviours already attained by the apprentice...""",What condition must be met regarding prior learning and experience to avoid funding recovery?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ031,Education,"33.1, 33.2","Check the individual’s personal learning record... and have a discussion... Conduct a skills scan against the knowledge, skills and behaviours...""",What action must a provider take to assess prior learning for apprentices aged 19+?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ032,Education,33.3,"Take account of the published progression profiles, if the individual has completed a T-Level.""",Must a provider consider T-Level progression profiles when assessing prior learning?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ033,Education,33.4,"Take account of progression profiles, where published and relevant, if the individual has taken part in a skills bootcamp.""",Must a provider consider skills bootcamp progression profiles when assessing prior learning?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ034,Education,35,"Where relevant prior learning and experience is identified, the provider must summarise the impact, including whether, and by how much, the apprenticeship content and price has been...""",What obligation arises if relevant prior learning and experience is identified?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ035,Education,23,"The provider must ensure that both the learner and the programme are eligible for funding by conducting an initial assessment.""",Which regulation specifies the obligation to conduct an initial assessment for funding eligibility?,"cco:Obligation, cco:Regulation, cco:specifiesNorm",,
CQ036,Education,"28, 29.8","From 1 January 2026, apprentices starting a Level 7 apprenticeship standard will only be eligible for funding...""",What is the validity start date of the regulation introducing changes to Level 7 apprenticeship funding eligibility?,"cco:Regulation, cco:hasValidityStart",,
CQ037,Education,23,"The provider must ensure that both the learner and the programme are eligible for funding by conducting an initial assessment.""",Which role is subject to the obligation to conduct an initial assessment for funding eligibility?,"cco:Obligation, cco:appliesToRole",CQ035,0.88
CQ038,Education,30,"To verify an apprentice’s suitability for their chosen standard... the provider must review the individual’s prior learning and experience.""",Which resource is regulated by the rule requiring assessment of programme eligibility after accounting for prior learning?,"cco:Regulation, cco:Resource, cco:regulates",,
CQ039,Education,35.2.1,"Calculate the percentage of prior learning that the individual has, as a percentage of the off-the-job training hours...""",Which obligations apply to providers regarding the calculation of prior learning percentage for apprenticeship funding?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ040,Education,35.2.2,"Reduce the total price by at least 50% of the prior learning percentage, from the funding band maximum...""",What action must a provider take when reducing the price due to prior learning?,"cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ041,Education,35.1.1,"If there is insufficient content remaining (i.e. less than 8 months or 187 hours), the individual will be ineligible...""",What condition must be met for an apprentice to be ineligible for funding due to reduced training hours?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ042,Education,35.1.2,"Where training needs to be repeated to meet the accreditation requirements of a regulated profession then this is eligible learning...""",Which regulation specifies the obligation to document repeated training for accreditation in regulated professions?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:hasObject, cco:specifiesNorm",,
CQ043,Education,35.2.4,"The final price... must be split between fields TNP1 and TNP2 in the ILR.""",What role is required to have the obligation to split the final price between TNP1 and TNP2 in the ILR?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ044,Education,35.1,"Where content is to be omitted from the training plan, this must be shown as a volume of off-the-job training hours.""",What obligation applies under the condition that an apprentice has prior learning affecting off-the-job training hours?,"cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ045,Education,41,"The provider must promptly claim for learning support funding through the ILR and the EAS.""",What action must a provider perform when claiming learning support funding?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ046,Education,42,"An apprentice who requires substantial reasonable adjustments... if the cost exceeds £19,000 in a funding year.""",What condition must be satisfied for a provider to claim exceptional learning support (ELS)?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ047,Education,39,"As part of the initial assessment, the provider must undertake a screening exercise for learning support.""",Which regulation specifies the obligation to conduct a screening exercise for learning support?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ048,Education,40.5,"Ongoing delivery and the need for learning support must be reviewed at least every 3 calendar months.""",What obligation applies to providers when reviewing ongoing learning support needs?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ049,Education,40.5.1,"Providers must immediately stop claiming these payments from the date learning support ceased by updating the ILR...""",What action must a provider take when learning support is no longer needed?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ050,Education,42.1,"The provider must complete and send the ELS claim form to us so that we can authorise the request.""",What resource must be regulated in relation to the submission of the ELS claim form?,"cco:Regulation, cco:Resource, cco:regulates, cco:specifiesNorm",,
CQ051,Education,39.1,"Where this assessment identifies potential learning difficulties or disabilities... the provider may need to undertake a further detailed assessment...""",What obligation applies to providers when they identify potential learning difficulties during screening?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction",,
CQ052,Education,39.2,"A learning difficulty or disability that does not require reasonable adjustments or cannot be evidenced...""",What condition excludes a learning difficulty from being eligible for learning support funding?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ053,Education,Evidence requirements (after 35.2.4),"Summarised the impact, including whether, and by how much, the apprenticeship content and price has been reduced.""",What obligation applies to providers regarding the documentation of prior learning impact on apprenticeship content?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ054,Education,40.3,"The provider can claim the additional costs via the earnings adjustment statement (EAS).""",What action must a provider take when reasonable adjustments exceed £150 per month?,"cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ055,Education,40,"The provider can only claim learning support funding for each month in which reasonable adjustments are provided...""",What condition must be met for a provider to claim learning support funding in a given month?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ056,Education,Evidence requirements (after 35.2.4),"Conducted a skills scan... and where relevant, has supplemented this with additional diagnostic testing.""",What obligation applies to providers when they use diagnostic testing for skills assessment?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction",,
CQ057,Education,Evidence requirements (after 35.2.4),"Had a discussion with the learner about the likelihood of relevant prior learning...""",What role is responsible for conducting a discussion about prior learning with the apprentice?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ058,Education,Evidence requirements (after 35.2.4),"Checked the individual’s personal learning record.""",What regulation specifies the obligation to check the individual’s personal learning record?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ059,Education,Unnamed (first sentence of the provided text),"at least every 3 calendar months, throughout the apprenticeship to ensure that reasonable adjustments are still necessary and appropriate""",What obligation applies to providers regarding the frequency of reviewing reasonable adjustments for apprentices?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ060,Education,Unnamed,"Where amendments to the original plan are required, these will need to be documented, signed-off by the apprentice and evidenced accordingly.""",What obligation does a provider have when amendments to the original reasonable adjustment plan are required?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ061,Education,Unnamed,"the provider has the application and supporting evidence for this claim. This includes details of the reasonable adjustments and the actual costs incurred.""",What evidence must a provider hold when claiming exceptional learning support (ELS) for an apprentice?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ062,Education,43,"the provider must discuss with the employer and apprentice, whether the apprentice will study towards a standalone English and /or maths qualification as part of their apprenticeship.""",Is there an obligation for providers to discuss with the employer and apprentice whether a 19+ apprentice will study English and/or maths as part of the programme?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction",,
CQ063,Education,43.2,"the employer holds overall responsibility for the decision to opt-in their 19+ apprentices to study a standalone English and /or maths qualification.""",Who holds overall responsibility for deciding whether a 19+ apprentice will study a standalone English and/or maths qualification?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ064,Education,44,"The provider must document this discussion, and the decision made, as part of the initial assessment outcome for all learners.""",Is there an obligation for providers to document the discussion and decision about English and/or maths study as part of the initial assessment?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ065,Education,44.1,"If the apprentice, at any age, already holds evidence of a suitable equivalent qualification or where the apprentice is aged 19+ and their employer does not agree...""",Under what condition is a provider not required to carry out any form of assessment as part of the initial assessment for English and/or maths?,"cco:Permission, cco:appliesUnder",,
CQ066,Education,45,"the provider must include this in the training plan, which is signed by the provider, employer and apprentice.""",What obligation applies to providers when a 16–18-year-old apprentice needs to study towards a standalone English and/or maths qualification?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ067,Education,45.1,"Providers must not claim for any funding for standalone English and /or maths qualifications until training has commenced.""",When can providers begin claiming funding for standalone English and/or maths qualifications?,"cco:Prohibition, cco:appliesUnder, cco:hasAction",,
CQ068,Education,45.2,"The provider is responsible for ensuring that active learning for English and /or maths takes place in line with the signed training plan.""",What obligation do providers have regarding active learning for English and/or maths for apprentices aged 16–18?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ069,Education,46,"the provider must include this in the training plan, which is signed by the provider, employer and apprentice.""",What obligation applies to providers when a 19+ apprentice is agreed to study a standalone English and/or maths qualification?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ070,Education,46.1,"Providers must not claim for any funding for standalone English and /or maths qualifications until training has commenced.""",When can providers begin claiming funding for standalone English and/or maths qualifications for 19+ apprentices?,"cco:Prohibition, cco:appliesUnder, cco:hasAction",,
CQ071,Education,46.2,"The provider is responsible for ensuring that active learning for English and /or maths takes place in line with the signed training plan.""",What obligation do providers have regarding active learning for English and/or maths for 19+ apprentices?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ072,Education,45.4,"The provider must provide written evidence at gateway that the apprentice has achieved English and /or maths.""",What written evidence must providers provide at gateway for 16–18-year-old apprentices studying English and/or maths?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ073,Education,46.4,"The provider must provide written evidence at gateway that the apprentice has attempted the assessment(s).""",What written evidence must providers provide at gateway for 19+ apprentices studying English and/or maths?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ074,Education,48,"the provider must carry out an assessment of their current level.""",What obligation applies to providers when assessing the current level of an apprentice for whom English and/or maths is being funded?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ075,Education,48.1,"The provider must use current assessment tools based on the National Standards for Adult Literacy and Numeracy...""",Which assessment tools must providers use to assess an apprentice's current level in English and/or maths?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ076,Education,49,"A provider can claim funding for an apprentice who has not previously attained a GCSE grade A* to C (or 9 to 4) in English and /or maths...""",For which apprentices can funding be claimed for GCSE English or maths?,"cco:Permission, cco:appliesUnder, cco:hasObject",,
CQ077,Education,50.1.1,"The apprentice must study towards and if aged 16-18, must achieve English and maths qualifications of at least level 1...""",What obligation applies to 16–18-year-old apprentices who hold neither level 1 nor level 2 qualifications in English and/or maths?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ078,Education,50.2.1,"The apprentice must start, continue to study, and take the assessments for a level 2 English and /or maths...""",What obligation applies to apprentices aged 16–18 who already hold approved level 1 qualifications in English and/or maths?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ079,Education,51,"it is a requirement that they hold or achieve an approved level 2 in both subjects before they can successfully complete the apprenticeship.""",What is the requirement for 16–18-year-old apprentices undertaking level 3 or higher apprenticeships regarding English and maths?,"cco:Obligation, cco:appliesUnder, cco:hasObject",,
CQ080,Education,51.1,"we will fund them to study towards an approved level 2 in both subjects, but they do not need to achieve to pass gateway.""",What funding is available for 19+ apprentices who opt-in to English and/or maths?,"cco:Permission, cco:appliesUnder, cco:hasObject",,
CQ081,Education,52,"they are allowed to continue with their English and /or maths up to and including level 2.""",Can an apprentice who is made redundant continue with English and/or maths training?,"cco:Permission, cco:appliesUnder",,
CQ082,Education,53,"The provider must not claim funding from any other DfE funding, including the adult skills fund... for English and /or maths qualifications...""",Is a provider prohibited from claiming funding from other DfE programmes while claiming from the apprenticeship budget for English and/or maths?,"cco:Prohibition, cco:appliesUnder, cco:hasAction",,
CQ083,Education,53.1,"the provider is responsible for delivering this training, or where agreed, using a subcontractor.""",What obligation applies to providers when delivering English and/or maths for 19+ apprentices via subcontractor?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ084,Education,54,"providers should consider whether they should be offered the flexibility to achieve Entry Level 3 functional skills in the adjusted subject(s).""",Under what condition can an apprentice with a learning difficulty or disability be offered Entry Level 3 functional skills in English and/or maths?,"cco:Permission, cco:appliesUnder",,
CQ085,Education,55,"All individuals must be considered on a case-by-case basis and must satisfy all of the following conditions""",What conditions must be satisfied for an apprentice to be considered for flexibility in achieving English and/or maths requirements due to a learning difficulty or disability?,"cco:ConditionExpression, cco:appliesUnder",,
CQ086,Education,55.1,"The provider ensures that a thorough and evidence-based assessment [...] of the individual apprentices’ learning difficulty or disability has been completed [...]""",Which obligation applies to providers regarding the assessment of an apprentice's learning difficulty or disability?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ087,Education,55.1,"A barrier has been identified. Self-declaration of a learning difficulty or a disability is insufficient.""",What condition must be satisfied for an exception to the English and maths minimum requirements to apply?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,
CQ088,Education,55.5,"The provider must retain all elements of the judgement in the evidence pack.""",What obligation do providers have regarding the retention of evidence related to the exception judgement?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ089,Education,56,"Providers must plan and evidence how the apprentice will access further literacy and numeracy development [...]""",What obligation applies to providers concerning literacy and numeracy development for apprentices exempt from English and maths requirements?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ090,Education,56,"This rule only applies if the apprentice meets all of the criteria set out in paragraph 55.""",Which norm specifies that the exception to English and maths requirements only applies if the apprentice meets all criteria in paragraph 55?,"cco:Norm, cco:appliesUnder",,
CQ091,Education,59,"The provider must be able to evidence that the individual requires significant new knowledge, skills and behaviours [...]""",What obligation applies to providers regarding the initial assessment outcome and occupational competence?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ092,Education,59,"They must discuss or share the outcome of the initial assessment with the individual and their employer [...]""",What obligation applies to providers regarding discussion of the initial assessment outcome with the apprentice and employer?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ093,Education,60,"The provider must give the learner the opportunity to declare their eligibility for the care leavers’ bursary [...]""",What obligation applies to providers regarding the care leavers’ bursary declaration opportunity?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ094,Education,61.1,"That an apprenticeship is the most appropriate training programme for the individual""",What obligation applies to providers and employers regarding agreement on the appropriateness of the apprenticeship programme?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ095,Education,61.3,"That the training plan aligns with an approved apprenticeship standard, at the most appropriate level""",What obligation applies to providers regarding alignment of the training plan with an approved apprenticeship standard?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ096,Education,62.2,"Release the apprentice for off-the-job training (and English and /or maths training if required), as documented in the training plan""",What obligation applies to employers regarding off-the-job training release for apprentices?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ097,Education,62.1,"Provide the individual with the appropriate support and supervision to carry out both their job role and their apprenticeship""",What obligation applies to employers regarding support and supervision for the apprentice’s job role and end-point assessment?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ098,Education,62.3,"Provide the apprentice with the opportunity and support to embed and consolidate the knowledge, skills and behaviours [...]""",What obligation applies to employers regarding embedding off-the-job training into the workplace?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ099,Education,62.4,"Take part or provide input into progress reviews.""",What obligation applies to employers regarding participation in progress reviews?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ100,Education,65,"The provider must verify that the individual is employed and is working under a contract of employment [...]""",What obligation applies to providers regarding verification of employment contracts for apprentices?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ101,Education,56,"The judgement must be formal and structured and conducted by an appropriate professional associated with the provider [...]""",Which regulation specifies the obligation for providers to conduct a formal and structured assessment by an appropriate professional?,"cco:Obligation, cco:Regulation, cco:specifiesNorm",,
CQ102,Education,64.2,"If the apprenticeship will allow the individual to acquire significant new skills and the provider can show that the content [...] is materially different""",What condition must be met for funding an apprenticeship at the same or lower level than a prior qualification?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,
CQ103,Education,Evidence requirements,"Provided a justification (not retrospective) about how they have arrived at the judgement as to whether the apprentice has enough time to make meaningful progress [...]""",What obligation applies to providers regarding justification of meaningful progress towards level 2 English and/or maths?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ104,Education,Evidence requirements,"Written evidence of the apprentice undertaking the assessment(s) and, for 16-18-year-old learners, achieving the relevant qualifications.""",What obligation applies to providers regarding documentation of standalone English and/or maths qualifications for 16–18-year-olds?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ105,Education,Evidence requirements,"Detailed how English and maths will be delivered in the training plan and has evidence of delivery taking place against that plan [...]""",What obligation applies to providers regarding delivery of English and maths in the training plan?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ106,Education,65.2,"The apprentice must be included in the PAYE scheme declared in the apprenticeship service account.""",Which obligation requires the apprentice to be included in the PAYE scheme declared in the apprenticeship service account?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ107,Education,65.3,"The apprentice must spend at least 50% of their apprenticeship duration with the employer whose PAYE scheme they are on, unless they are...""",What condition allows an apprentice to spend less than 50% of their apprenticeship duration with the employer on whose PAYE scheme they are registered?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression, cco:hasException",,
CQ108,Education,65.3.1,"Employed by a registered Flexi-Job Apprenticeship Agency (see paragraphs 259 to 263)""",Which exception applies when an apprentice is employed by a registered Flexi-Job Apprenticeship Agency?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,
CQ109,Education,65.3.4,"Seconded to an organisation who is part of a Pooled PAYE scheme and is therefore unable to access apprenticeship funding in their own right.""",Which exception applies when an apprentice is seconded to an organisation part of a Pooled PAYE scheme?,"cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,
CQ110,Education,Evidence requirements (after 65.3),"Confirmed with the employer that the apprentice is included in the PAYE scheme declared in the apprenticeship service account.""",What obligation requires the provider to confirm that the apprentice is included in the declared PAYE scheme?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ111,Education,Evidence requirements (after 65.3),"Confirmed with the employer that any secondment meets the rule / exceptions set out in paragraph 65.3.""",What obligation requires the provider to confirm that any secondment meets the rule or exceptions in paragraph 65.3?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ112,Education,66,"The provider must have evidence that the apprentice has an apprenticeship agreement with their employer...""",What obligation requires the provider to have evidence of an apprenticeship agreement between the employer and the apprentice?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ113,Education,66.3,"The employer must give a copy of the completed apprenticeship agreement to the provider.""",What obligation requires the employer to give a copy of the completed apprenticeship agreement to the provider?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ114,Education,66.4,"The agreement must be extended if the programme is extended.""",What obligation requires the apprenticeship agreement to be extended if the programme is extended?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ115,Education,67.1,"It is prohibited for someone to sign a contract, including an apprenticeship agreement, as both the apprentice and as the employer...""",What prohibition exists regarding signing an apprenticeship agreement as both employer and apprentice?,"cco:Prohibition, cco:appliesUnder, cco:hasAction",,
