cq_id,domain,clause,excerpt,question,cco_elements,llm_model,llm_assessment,llm_reason
CQ013,Finance,Addressees,"These guidelines are addressed to competent authorities... and to financial institutions...""",Which agents are addressed by the guidelines concerning internal governance arrangements?,"cco:Regulation, cco:appliesToRole, cco:holdsRole, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause specifies addressees (agents) and can be represented using CCO's Regulation class with appliesToRole and holdsRole properties to link to roles like ""competent authorities"" and ""financial institutions,"" which are covered by generic Agent and Role classes."
CQ014,Finance,5,"institutions... should implement in accordance with Article 74(1) of Directive 2013/36/EU""",What type of norm applies to institutions regarding implementation of internal governance arrangements?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on institutions (mapped to cco:Organisation and cco:Role) to perform an action (implementation), which can be represented using cco:Obligation, cco:appliesToRole, and cco:hasAction."
CQ015,Finance,12,"Institutions should comply... on an individual, sub-consolidated and consolidated basis...""",On what basis must institutions comply with these guidelines?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on institutions to comply under specific conditions (individual, sub-consolidated, and consolidated basis), which can be represented using CCO's Obligation, Condition, appliesUnder, and hasConditionExpression properties."
CQ016,Finance,12,"competent authorities should ensure that institutions comply with these guidelines...""",Which role is responsible for ensuring that institutions comply with these guidelines?,"cco:Obligation, cco:appliesToRole, cco:holdsRole",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes an obligation for competent authorities (a role) to ensure compliance, which can be represented using CCO's Obligation, appliesToRole, and holdsRole properties with generic class coverage."
CQ017,Finance,18,"all the following aspects should be taken into account by institutions and competent authorities""",What condition must be considered when applying the proportionality principle to governance arrangements?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on institutions and competent authorities to consider specific conditions, which can be represented using cco:Obligation, cco:appliesUnder, and cco:hasConditionExpression with generic classes for agents and roles."
CQ018,Finance,22b,"The management body’s responsibilities should include... the overall risk strategy, the institution’s risk appetite...""",Which action is required of the management body regarding the institution's risk strategy?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on a specific role (management body) to perform an action (include overall risk strategy and risk appetite), which can be represented using cco:Obligation, cco:appliesToRole, and cco:hasAction."
CQ019,Finance,22d,"the amounts, types and distribution of both internal capital and regulatory capital...""",What resource must the management body oversee in relation to capital adequacy?,"cco:Obligation, cco:Resource, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on the management body (Agent/Role) to oversee a specific resource (internal and regulatory capital), which can be represented using cco:Obligation, cco:hasObject, and cco:Resource."
CQ020,Finance,22f,"a remuneration policy that is in line with the remuneration principles set out in Articles 92 to 95...""",Which action must the management body take regarding remuneration policy?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on a role (management body) to perform an action (take regarding remuneration policy), which can be represented using CCO's Obligation, appliesToRole, and hasAction properties."
CQ021,Finance,22h,"a selection and suitability assessment process for key function holders""",What role must the management body establish arrangements for in terms of suitability assessment?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on the management body (Agent/Role) to establish arrangements (Action) for suitability assessment, which can be represented using CCO classes and properties."
CQ022,Finance,7,"The guidelines do not interfere with the general allocation of competences in accordance with national company law.""",What condition applies to the application of governance guidelines in relation to national company law?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause can be represented as a Condition linked to a Norm via appliesUnder, with the condition expression capturing the non-interference with national company law."
CQ023,Finance,9,"the persons who perform those executive functions on the basis of that delegation should be understood as constituting the management function""",Which agents are considered to perform the management function when executive functions are delegated?,"cco:Role, cco:appliesToRole, cco:holdsRole",deepseek-ai/DeepSeek-V3.1,Yes,"The clause defines a role assignment condition that can be represented using cco:Role, cco:holdsRole, and cco:appliesToRole to capture the delegation-based inclusion in the management function role."
CQ024,Finance,10,"institutions should ensure that such responsibilities and related decisions are in line, as far as possible, with the guidelines applicable to the management body.""",What action must institutions take when responsibilities are exercised directly by shareholders?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on institutions (Agent/Role) to take an action (ensure alignment with guidelines) under a condition (when responsibilities are exercised by shareholders), which can be represented using CCO classes and properties."
CQ025,Finance,1,"These guidelines are issued pursuant to Article 16 of Regulation (EU) No 1093/2010""",Which regulatory authority agent issues the EBA guidelines on internal governance?,"cco:Regulation, cco:RegulatoryAuthorityAgent, cco:issues",deepseek-ai/DeepSeek-V3.1,Yes,"The clause explicitly identifies a regulatory authority agent issuing a regulation, which directly maps to the CCO properties and classes, including 'issues' from RegulatoryAuthorityAgent to Regulation."
CQ026,Finance,24,"The management body must oversee the process of disclosure and communications with external stakeholders and competent authorities.""",Which obligation applies to the management body regarding oversight of disclosure and communications with external stakeholders and competent authorities?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a specified role (""management body"") and action (""oversee the process of disclosure and communications""), which can be represented using CCO classes and properties."
CQ027,Finance,25,"All members of the management body should be informed about the overall activity, financial and risk situation of the institution...""",What obligation requires members of the management body to be informed about the institution’s financial and risk situation?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (""should be informed"") that applies to a role (""members of the management body"") and involves an action (""be informed""), which can be represented using CCO classes and properties."
CQ028,Finance,26,"A member of the management body may be responsible for an internal control function... provided that the member does not have other mandates that would compromise...""",Under what condition may a member of the management body be responsible for an internal control function?,"cco:Condition, cco:Permission, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with a role-based applicability and a condition, which can be represented using CCO's Permission, appliesToRole, appliesUnder, and hasConditionExpression properties."
CQ029,Finance,27,"The management body should monitor, periodically review and address any weaknesses identified regarding the implementation of processes, strategies and policies...""",What obligation requires the management body to monitor and address weaknesses in governance processes?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (should monitor...) that applies to a role (management body) and specifies actions (monitor, review, address), which can be represented using CCO classes and properties."
CQ030,Finance,28,"The management body in its management function should engage actively in the business of an institution...""",What obligation requires the management body in its management function to engage actively in the business of the institution?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation directed at a specific role (management body in its management function) with an explicit action (engage actively in the business), which can be represented using cco:Obligation, cco:appliesToRole, and cco:hasAction."
CQ031,Finance,28,"The management body in its management function should take decisions on a sound and well-informed basis.""",What obligation requires the management body in its management function to take decisions on a sound and well-informed basis?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation directed at a specific role (management body in its management function) with an explicit action (take decisions on a sound and well-informed basis), which can be represented using CCO classes and properties."
CQ032,Finance,29,"The management body in its management function should be responsible for the implementation of the strategies set by the management body...""",What obligation requires the management body in its management function to be responsible for implementing strategies set by the management body?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specified role and action, which can be represented using CCO classes and properties."
CQ033,Finance,29,"...and discuss regularly the implementation and appropriateness of those strategies with the management body in its supervisory function.""",What obligation requires the management body in its management function to discuss strategy implementation with the supervisory function?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specified role and action, which can be represented using CCO classes and properties."
CQ034,Finance,30,"The management body in its management function should constructively challenge and critically review propositions, explanations and information...""",What obligation requires the management body in its management function to challenge and review information when making decisions?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specified role and action, which can be represented using CCO classes and properties."
CQ035,Finance,30,"The management body in its management function should comprehensively report... the relevant elements for the assessment of a situation, the risks and developments...""",What obligation requires the management body in its management function to report regularly on material risks and developments?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specific role (management body in its management function) and an action (reporting), which can be represented using CCO classes and properties."
CQ036,Finance,31,"The management body should identify one of its members... who is responsible for the implementation of the laws, regulations and administrative provisions necessary to comply with this directive...""",What obligation requires the management body to identify a member responsible for AML/CFT compliance?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (should) with an action (identify) that applies to a role (management body member), which can be represented using CCO classes and properties."
CQ037,Finance,32,"The role of the members of the management body in its supervisory function should include monitoring and constructively challenging the strategy of the institution.""",What obligation requires the supervisory function of the management body to monitor and challenge the institution’s strategy?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (should include) that applies to a role (members of the management body in its supervisory function) and specifies an action (monitoring and constructively challenging the strategy), all representable using CCO classes and properties."
CQ038,Finance,33,"Without prejudice to national law the management body in its supervisory function should include independent members...""",What obligation requires the supervisory function of the management body to include independent members?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (""should include"") that applies to a role (""management body in its supervisory function"") and specifies an action (""include independent members""), which can be represented using CCO classes and properties."
CQ039,Finance,34a,"oversee and monitor management decision-making and actions and provide effective oversight of the management body in its management function...""",What obligation requires the supervisory function of the management body to oversee and monitor management decision-making?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with an action (""oversee and monitor"") and applies to a role (""supervisory function of the management body""), which can be represented using CCO classes and properties."
CQ040,Finance,34b,"constructively challenge and critically review proposals and information provided by members of the management body in its management function, as well as its decisions""",What obligation requires the supervisory function of the management body to challenge proposals and decisions from the management function?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specific action (""constructively challenge and critically review"") that applies to a role (""supervisory function of the management body""), which can be represented using CCO classes and properties."
CQ041,Finance,34c,"appropriately fulfil the duties and role of the risk committee, the remuneration committee and the nomination committee, where no such committees have been set up""",What obligation requires the supervisory function of the management body to fulfill committee duties when no committees are established?,"cco:Condition, cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a condition and applies to a role, which can be represented using CCO classes and properties."
CQ042,Finance,34d,"ensure and periodically assess the effectiveness of the institution’s internal governance framework and take appropriate steps to address any identified deficiencies""",What obligation requires the supervisory function of the management body to assess the effectiveness of the internal governance framework?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a specified role, action, and resource, all mappable to CCO classes and properties."
CQ043,Finance,34e,"oversee and monitor that the institution’s strategic objectives, organisational structure and risk strategy... are implemented consistently""",What obligation requires the supervisory function of the management body to oversee consistent implementation of strategic objectives and risk strategy?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation (""oversee and monitor"") that applies to a role (""management body"") and involves specific actions, which can be represented using CCO classes and properties."
CQ044,Finance,34f,"monitor that the risk culture of the institution is implemented consistently""",What obligation requires the supervisory function of the management body to monitor consistent implementation of risk culture?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes an obligation with a specific action (""monitor"") and applies to a role (""management body""), which can be represented using CCO's Obligation, hasAction, and appliesToRole properties."
CQ045,Finance,34g,"oversee the implementation and maintenance of a code of conduct or similar code and effective policies to identify, manage and mitigate actual and potential conflicts of interest""",What obligation requires the supervisory function of the management body to oversee conflict of interest policies?,"cco:Obligation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with an action (""oversee""), applies to a role (""management body""), and involves a resource (""conflict of interest policies""), all representable using CCO classes and properties."
CQ046,Finance,34h,"oversee the integrity of financial information and reporting, and the internal control framework, including an effective and sound risk management framework""",What obligation requires the supervisory function of the management body to oversee financial reporting and internal controls?,"cco:Obligation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with an action (""oversee""), applies to a role (""supervisory function of the management body""), and involves resources (""financial reporting and internal controls""), all representable using CCO classes and properties."
CQ047,Finance,34i,"ensure that the heads of internal control functions are able to act independently... and can raise concerns and warn the management body in its supervisory function directly...""",What obligation ensures that heads of internal control functions can raise concerns directly with the supervisory function?,"cco:Obligation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for specific role holders to perform an action on a resource, which can be represented using the provided CCO classes and properties."
CQ048,Finance,34j,"monitor the implementation of the internal audit plan, after the prior involvement of the risk and audit committees, where such committees are established.""",What obligation requires monitoring of the internal audit plan after committee involvement?,"cco:Condition, cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with an explicit action (""monitor the implementation of the internal audit plan"") and a condition (""after the prior involvement of the risk and audit committees, where such committees are established""), which can be represented using CCO classes and properties."
CQ049,Finance,35,"The chair of the management body should lead the management body... and should be responsible for its effective overall functioning.""",What obligation requires the chair of the management body to lead the management body and ensure its effective functioning?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (""should be responsible"") that applies to a specific role (""chair of the management body"") and involves actions (""lead"" and ""ensure its effective functioning""), which can be represented using CCO classes and properties."
CQ050,Finance,36,"The chair should encourage and promote open and critical discussion and ensure that dissenting views can be expressed and discussed...""",What obligation requires the chair to promote open and critical discussion within the management body?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (using ""should"") that applies to a role (""chair""), with a specified action (""encourage and promote open and critical discussion""), which can be represented using CCO classes and properties."
CQ051,Finance,37,"As a general principle, the chair of the management body should be a non-executive member.""",What obligation requires the chair of the management body to be a non-executive member?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (""should be"") that applies to a specific role (""chair of the management body"") and specifies an action (""be a non-executive member""), all of which can be represented using the provided CCO classes and properties."
CQ052,Finance,37,"Where the chair is permitted to assume executive duties, the institution should have measures in place to mitigate any adverse impact...""",Under what condition may the chair of the management body assume executive duties?,"cco:Condition, cco:Permission, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition and role-based applicability, which can be represented using CCO's Permission, Condition, appliesToRole, appliesUnder, and hasConditionExpression properties."
CQ053,Finance,37,"the chair of the management body in its supervisory function of an institution must not exercise simultaneously the functions of a CEO within the same institution...""",What obligation prohibits the chair of the supervisory function from simultaneously holding the CEO role?,"cco:Prohibition, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a clear prohibition with specified roles and an action, which can be represented using CCO's Prohibition, appliesToRole, and hasAction properties."
CQ054,Finance,38,"The chair should set meeting agendas and ensure that strategic issues are discussed with priority.""",What obligation requires the chair to set meeting agendas and prioritize strategic issues?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a role-specific application and an explicit action, which can be represented using cco:Obligation, cco:appliesToRole, and cco:hasAction in the CCO."
CQ055,Finance,38,"He or she should ensure that decisions of the management body are taken on a sound and well-informed basis...""",What obligation requires the chair to ensure decisions are made on a well-informed basis?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specified role (chair) and action (ensure decisions are made on a well-informed basis), which can be represented using CCO classes and properties."
CQ056,Finance,38,"...and that documents and information are received in enough time before the meeting.""",What obligation requires the chair to ensure timely distribution of meeting documents?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes an obligation for a role (chair) to perform an action (ensuring timely distribution of documents), which can be represented using cco:Obligation, cco:appliesToRole, and cco:hasAction."
CQ057,Finance,39,"The chair of the management body should contribute to a clear allocation of duties between members of the management body...""",What obligation requires the chair to contribute to a clear allocation of duties among management body members?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation directed at a specific role (chair) with an explicit action (contribute to clear allocation of duties), which can be represented using CCO classes and properties."
CQ058,Finance,39,"...and the existence of an efficient flow of information between them...""",What obligation requires the chair to ensure efficient information flow between management body members?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The excerpt contains an obligation (Obligation) that applies to a role (appliesToRole) and involves an action (hasAction), which can be represented using CCO classes and properties."
CQ059,Finance,40,"all institutions that are themselves significant... must establish risk, nomination and remuneration committees...""","What obligation requires significant institutions to establish risk, nomination, and remuneration committees?","cco:Obligation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an action (""establish"") and applies to a role (""significant institutions""), which can be represented using CCO classes and properties."
CQ060,Finance,41,"Where no risk or nomination committee is established, the references in these guidelines to those committees should be construed as applying to the management body...""",What obligation applies to the management body in its supervisory function when no risk or nomination committee is established?,"cco:Condition, cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes an obligation for the management body in a supervisory role under the condition that no risk or nomination committee exists, which can be represented using CCO's Obligation, Role, Condition, and applicable properties."
CQ061,Finance,42,"Institutions may, taking into account the criteria set out in Title I of these guidelines, establish other committees (e.g. anti-money laundering/counter terrorist financing...)""",What permission allows institutions to establish additional committees such as AML/CTF or ethics committees?,"cco:Permission, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission for institutions (Agent/Role) to establish committees (Action/Resource) under specified conditions, which can be represented using CCO's Permission, appliesToRole, hasAction, hasObject, and appliesUnder properties with generic class mappings."
CQ062,Finance,43,"Institutions should ensure a clear allocation and distribution of duties and tasks between specialised committees of the management body.""",What obligation requires institutions to ensure a clear allocation of duties between specialized committees?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (using ""should"") that applies to a role (institutions) and specifies an action (ensure clear allocation and distribution of duties and tasks), which can be represented using CCO classes and properties."
CQ063,Finance,44,"Each committee should have a documented mandate, including the scope of its responsibilities, from the management body in its supervisory function...""",What obligation requires each committee to have a documented mandate from the supervisory function?,"cco:Obligation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for a role (committee) to have a resource (documented mandate), which can be represented using the specified CCO classes and properties."
CQ064,Finance,45,"Committees should support the supervisory function in specific areas and facilitate the development and implementation of a sound internal governance framework.""",What obligation requires committees to support the supervisory function in specific areas?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a role-specific application and an action, which can be represented using CCO:Obligation, cco:appliesToRole, and cco:hasAction."
CQ065,Finance,46,"All committees should be chaired by a non-executive member of the management body who is able to exercise objective judgement.""",What obligation requires all committees to be chaired by a non-executive member?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specified role and action, which can be represented using CCO classes and properties like Obligation, appliesToRole, and hasAction."
CQ066,Finance,47,"Independent members of the management body in its supervisory function should be actively involved in committees.""",What obligation requires independent members to be actively involved in committees?,,deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation (should) directed at independent members (Agent with Role) to perform an action (be actively involved in committees), which can be represented using CCO classes and properties."
CQ067,Finance,61.c,"oversee the implementation of the strategies for capital and liquidity management...""",Which obligation is specified by the regulation that requires the risk committee to oversee the implementation of capital and liquidity management strategies?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text describes an obligation with a specific action and role, which can be represented using CCO classes and properties like Obligation, appliesToRole, hasAction, and specifiesNorm."
CQ068,Finance,61.f,"review a number of possible scenarios, including stressed scenarios...""",What action is required of the risk committee when assessing the institution’s risk profile under stressed scenarios?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on the risk committee (a role) to perform an action (reviewing scenarios), which can be represented using CCO:Obligation, cco:appliesToRole, and cco:hasAction."
CQ069,Finance,61.g,"The risk committee should assess the risks associated with the offered financial products and services...""",Which role is subject to the obligation to assess risks associated with financial products and services offered to clients?,"cco:Obligation, cco:appliesToRole, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation that applies to a specific role (risk committee) and involves assessing risks (action) associated with financial products and services (object), all of which can be represented using the provided CCO classes and properties."
CQ070,Finance,61.g,"oversee the alignment between all material financial products and services offered to clients...""",What resource is the obligation about alignment of financial products with business model and risk strategy applied to?,"cco:Obligation, cco:appliesToRole, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a clear object (resource) and applies to a role, which can be represented using cco:Obligation, cco:hasObject, and cco:appliesToRole."
CQ071,Finance,61.h,"assess the recommendations of internal or external auditors and follow up on the appropriate implementation...""",Which obligation requires the risk committee to follow up on implementation of measures from auditor recommendations?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specific role (risk committee) and action (follow up on implementation), which can be represented using the provided CCO classes and properties."
CQ072,Finance,62,"The risk committee should collaborate with other committees whose activities may have an impact on the risk strategy...""",Is there an obligation for the risk committee to collaborate with other committees such as audit and remuneration committees?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The excerpt describes a normative obligation (""should collaborate"") directed at a role (""risk committee"") with a condition (""whose activities may have impact""), which can be fully represented using the CCO classes and properties."
CQ073,Finance,63,"When established, the risk committee must... examine whether incentives provided by the remuneration policies...""",What condition must be met for the risk committee to examine remuneration policies regarding risk and capital considerations?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with an explicit condition (""When established"") and can be represented using cco:Obligation, cco:appliesToRole, cco:appliesUnder, and cco:hasAction as specified."
CQ074,Finance,64.a,"monitor the effectiveness of the institution’s internal quality control and risk management systems...""",Which obligation is placed on the audit committee to monitor the effectiveness of internal quality control and risk management systems?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on a specific role (audit committee) to perform an action (monitoring effectiveness), which can be represented using CCO's Obligation, appliesToRole, and hasAction properties."
